BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
22-3128,False,False,False,False,False,False,True,
22-3129,False,False,False,True,False,False,False,
22-3132,False,False,False,True,False,False,False,
22-3146,False,False,False,False,False,False,False,
22-3150,False,False,False,False,False,False,False,
22-3153,False,False,False,False,False,True,False,
22-3155,False,False,False,False,False,False,True,
22-3157,False,True,False,False,False,False,False,
22-316,False,False,True,False,False,False,False,
22-3161,False,False,False,False,True,False,False,
22-3168,False,False,False,False,False,True,False,
22-3169,False,False,False,False,True,False,False,
22-3179,False,False,False,False,False,False,True,
22-3180,False,False,False,False,False,False,False,
22-3182,False,False,False,False,True,False,False,
22-3185,False,False,False,False,True,False,False,
22-3192,False,False,False,False,False,False,True,
22-3260,False,False,False,False,False,False,True,
22-3261,False,False,False,False,False,False,True,
22-3269,False,False,False,False,True,False,False,
22-3275,False,True,False,False,False,False,False,
22-3280,False,False,False,False,False,False,False,
22-3281,False,False,False,False,True,False,False,
22-3285,False,False,False,False,False,False,False,
22-3295,False,False,False,False,True,False,False,
22-3296,False,False,False,False,False,False,True,
22-3301,False,False,False,False,False,True,False,
22-3303,False,True,False,False,False,False,False,
22-3305,False,False,False,False,True,False,False,
22-3323,False,False,False,True,False,False,False,
22-3341,False,False,False,False,False,True,False,
22-3350,False,False,False,False,False,False,True,
22-3358,False,False,False,False,False,False,True,
22-3359,False,False,False,False,False,False,True,
22-3360,False,False,False,False,False,False,True,
22-3361,False,False,False,False,False,False,True,
22-3369,False,False,False,False,False,False,True,
22-3373,False,False,False,False,True,False,False,
22-338,False,False,False,False,True,False,False,
22-3380,False,False,False,False,True,False,False,
22-3382,False,False,False,False,False,False,True,
22-3387,False,False,False,False,False,False,False,
22-3395,False,False,False,False,False,False,True,
22-3397,False,False,False,False,True,False,False,
22-342,False,False,False,False,False,False,True,
22-3427,False,False,False,True,False,False,False,
22-3430,False,True,False,False,False,False,False,
