BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
21-114011,False,False,True,False,False,False,
21-114252,True,False,False,False,False,False,
21-129515,True,False,False,False,False,False,
21-154323,True,False,False,False,False,False,
21-158351,False,False,True,False,False,False,
21-165972,True,False,False,False,False,False,
21-166043,False,False,True,False,False,False,
21-166718,True,False,False,False,False,False,
21-168564,False,False,False,False,False,False,Collectivité Territoriale
21-168633,True,False,False,False,False,False,
21-169647,False,False,False,False,False,False,Commune
21-169657,False,False,True,False,False,False,
21-170536,False,False,False,False,True,False,
21-170598,False,False,False,False,True,False,
21-170708,False,False,True,False,False,False,
21-170864,False,False,False,False,False,False,EPCI
21-170928,False,False,False,False,False,False,EPIC
21-171113,False,False,False,False,True,False,
21-171136,False,False,True,False,False,False,
21-171144,False,False,True,False,False,False,
21-171148,False,False,True,False,False,False,
21-171149,False,False,False,False,True,False,
21-171152,False,False,True,False,False,False,
21-171154,False,False,True,False,False,False,
21-171156,False,False,True,False,False,False,
21-171157,False,False,False,False,True,False,
21-171161,False,False,True,False,False,False,
21-171164,False,False,True,False,False,False,
21-171167,False,False,True,False,False,False,
21-171168,False,False,True,False,False,False,
21-171169,False,False,False,False,False,False,Etablissement Public de Santé
21-171171,False,False,True,False,False,False,
21-171172,False,False,False,False,True,False,
21-171173,False,False,True,False,False,False,
21-171177,False,False,True,False,False,False,
21-171178,False,False,False,False,True,False,
21-171179,False,False,False,False,False,False,Syndicat mixte informatique
21-171180,True,False,False,False,False,False,
21-171182,False,False,True,False,False,False,
21-171183,False,False,True,False,False,False,
21-171184,False,False,True,False,False,False,
21-171185,False,False,True,False,False,False,
21-171186,False,False,False,False,False,False,Organisme de sécurité sociale de droit privé exerçant une mission de service public visé par l'article L.124-4 du code de la sécurité sociale.
21-171189,False,False,False,False,False,False,autre
21-171192,False,False,False,False,False,False,autre
21-171193,False,False,False,False,False,False,autre
