BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
21-114011,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-129515,,"Le financement est assuré exclusivement par des ressources budgétaires propres au ministère des armées.Le régime des paiements (versements d'avance, acomptes, soldes ...) est conforme aux dispositions des articles L 2391-2 à L 2392-10, R 2391-1 à R 2391-10, R 2391-16 à R 2391-28, R 2393-24 à R 2393-40 du code de la commande publiqueLe type et la forme de prix des prestations seront :Unitaires (poste à bons de commande), forfaitaires (autres postes), définitifs révisables.Le délai de paiement est de 30 jours maximum et mis en oeuvre conformément aux articles R 2392-10 à R 2392-12 et D 2392-11 du code de la commande publique. Le mode de règlement est le virement. Le comptable assignataire est :L'agent comptable des services industriels de l'armement (ACSIA)Le Vendôme III11, rue du Rempart93 196 Noisy-Le Grand CEDEX","Conformément aux articles R 2342-12 à R 2342-15 du code de la Commande publique, les candidats doivent indiquer dans leur candidature s'ils se présentent en tant que candidat individuel ou groupement d'opérateurs économiques.La forme du groupement n'est pas imposée. Toutefois si le candidat se présente sous la forme d'un groupement conjoint, le mandataire sera solidaire pour l'exécution du marché, de chacun des membres du groupement pour ses obligations contractuelles à l'égard de l'acheteur. Il est interdit aux candidats de présenter pour l'accord-cadre plusieurs offres en agissant à la fois:1° en qualité de candidats individuels et de membres d'un ou plusieurs groupements ;2° en qualité de membres de plusieurs groupements.La composition des groupements peut être modifiée, et il est possible d'en constituer de nouveaux entre la remise des candidatures et la remise des offres initiales.En cas de modification ou de constitution d'un groupement, tous ses membres doivent avoir été autorisés à présenter une offre ou à y participer, au moins en tant que sous-contractant accepté dans la phase de candidature, et le groupement modifié ou nouvellement constitué doit respecter les exigences relatives aux capacités des candidats.Informations complémentaires sur les groupements d'opérateurs économiques : se reporter à la rubrique VI.3).",False,False,"Conformément à l'article R 2351-14 du code de la commande publique, les documents de la consultation comporteront des exigences relatives à la sécurité des informations.",False,False,False,CF_NIV_SUIV,['FR'],
21-158657,,Les prestations seront financées par le budget de la Ville et réglées par mandat administratif.Les règlements s'effectueront selon les règles de la comptabilité publique.Le délai global de paiement est de 30 jours.,Non imposé,False,False,,False,True,True,CF_NIV_SUIV,,
21-159240,,financement sur les crédits budgétaires alloués à l'apij - paiement au compte du titulaire par virement à 30 jours maximum conformément à l'article R2192-10 du code de la commande publique . Les prix sont révisables. Il est prévu le versement d'une avance et d'acomptes en fonction de l'avancement des prestations et de paiements partiels définitifs.,"en raison de la nature des prestations faisant l'objet de la présente consultation et de leur fort imbrication technique, l'acheteur entend s'assurer que chacun des prestataires membres du groupement soit engagé sur la totalité du marché. C'est la raison pour laquelle le groupement attributaire sera solidaire.",False,False,,False,True,True,CF_NIV_SUIV,,
21-160234,,"Les travaux seront financés selon les modalités suivantes : budget aménagement. Les sommes dues au(x) titulaire(s) et au(x) sous-traitant(s) de premier rang éventuel(s) du marché, seront payées dans un délai global de 30 jours à compter de la date de réception des factures ou des demandes de paiement équivalentes, conformément à l'article R2192-10 du code de la commande publique.","L'offre, qu'elle soit présentée par une seule entreprise ou par un groupement, devra indiquer tous les sous-traitants connus lors de son dépôt. Elle devra également indiquer les travaux (et leur montant) dont la sous-traitance est envisagée, la dénomination et la qualité des sous-traitants qui l'exécuteront à la place du titulaire.Le pouvoir adjudicateur ne souhaite imposer aucune forme de groupement à l'attributaire du marché.Il est interdit aux candidats de présenter plusieurs offres en agissant à la fois :- En qualité de candidats individuels et de membres d'un ou plusieurs groupements,- En qualité de membres de plusieurs groupements.",False,False,,False,True,True,CF_NIV_SUIV,,
21-165066,,,,False,False,,False,True,True,CF_NIV_SUIV,,
21-168564,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-168967,"Aucune garantie financière n'est exigée.Une avance pourra être accordée au Titulaire, sous conditions, conformément au CCAP. Le titulaire devra justifier de la constitution d'une garantie à première demande à concurrence de 100 % du montant de l'avance. La caution personnelle et solidaire n'est pas autorisée. L'Attention des candidats est attirée sur le fait que s'ils veulent renoncer aux bénéfices de l'avance le cas échéant prévue au CCAP, ils doivent le préciser à l'Acte d'Engagement.",Les prestations seront financées sur les fonds propres de la Régie. Les sommes dues au Titulaire seront payées dans un délai global de trente jours à compter de la date de réception des demandes de paiement.,La Régie ne souhaite imposer aucune forme de groupement à l'attributaire du marché.,False,False,,False,True,True,CF_NIV_SUIV,,
21-169175,,Ressources propres,,False,False,,False,True,True,CF_NIV_SUIV,,
21-170143,,,,False,False,,False,True,True,CF_NIV_SUIV,,
