BOAMP_AVIS_NUM,D_13_01_Conditionparticipation_Critereselection,D_13_02_Conditionparticipation_Situationjuridique,D_13_03_Conditionparticipation_Situationjuridiquesst,D_13_04_Conditionparticipation_Capecomarcheoui,D_13_05_Conditionparticipation_Capecomarchenon,D_13_06_Conditionparticipation_Capeco,D_13_07_Conditionparticipation_Capecosst,D_13_08_Conditionparticipation_Capeconiveaumini,D_13_09_Conditionparticipation_Capeconiveauminisst,D_13_10_Conditionparticipation_Captechoffreoui,D_13_11_Conditionparticipation_Captechoffrenon,D_13_12_Conditionparticipation_Captech,D_13_13_Conditionparticipation_Captechsst,D_13_14_Conditionparticipation_Captechniveaumini,D_13_15_Conditionparticipation_Captechniveauminisst,D_13_16_Conditionparticipation_Criteresparticipation,D_13_17_Conditionparticipation_Marchereserveoui,D_13_17_01_Conditionparticipation_Marchereserveoui_Ateliersproteges,D_13_17_02_Conditionparticipation_Marchereserveoui_Emploisproteges,D_13_18_Conditionparticipation_Marchereservenon,D_13_19_Conditionparticipation_Prestationreserveeoui,D_13_20_Conditionparticipation_Prestationreserveenon,D_13_21_Conditionparticipation_Conditionparticuliereexecution,D_13_22_Conditionparticipation_Indicationobligatoirenomqualificationsoui,D_13_23_Conditionparticipation_Indicationobligatoirenomqualificationsnon,D_13_24_Conditionparticipation_Justificatifscandidat,D_13_24_01_Conditionparticipation_Justificatifscandidat_P,D_13_25_Conditionparticipation_Eligiblemps,D_13_25_01_Conditionparticipation_Eligiblemps_Oui,D_13_25_02_Conditionparticipation_Eligiblemps_Non
21-114011,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,True,,True,,False,True,CF_NIV_SUIV,,CF_NIV_SUIV,False,True
21-129515,,"Critères relatifs à la situation personnelle d'opérateurs économiques (susceptibles d'entraîner leur exclusion), y compris exigences relatives à leur inscription à un registre professionnel ou du commerce.Renseignements et formalités nécessaires pour évaluer si ces exigences sont remplies : cf 1) Conditions de participation : liste des éléments et documents exigés des candidats à la rubrique Vi.3 du présent AAPC. Il est rappelé que la fourniture de ces éléments listés à la rubrique Vi.3 est primordiale, sous peine de rejet de la candidature de l'opérateur économique.Critères relatifs à la situation personnelle de sous-traitants (susceptibles d'entraîner leur rejet), y compris exigences relatives à leur inscription à un registre professionnel ou du commerce.Renseignements et formalités nécessaires pour évaluer si ces exigences sont remplies : cf 1) Conditions de participation : liste des éléments et documents exigés des candidats à la rubrique Vi.3 du présent AAPC. Il est rappelé que la fourniture de ces éléments listés à la rubrique Vi.3 est primordiale, sous peine de rejet de la candidature de l'opérateur économique.",,,False,"Critères relatifs à la situation économique et financière d'opérateurs économiques (susceptibles d'entraîner leur exclusion).Renseignements et formalités nécessaires pour évaluer si ces exigences sont remplies : cf 1) Conditions de participation : liste des éléments et documents exigés des candidats à la rubrique Vi.3 du présent AAPC. Il est rappelé que la fourniture des éléments listés à la rubrique Vi.3 est primordiale, sous peine de rejet de la candidature de l'opérateur économique.Critères relatifs à la situation économique et financière de sous-traitants (susceptibles d'entraîner leur rejet).Renseignements et formalités nécessaires pour évaluer si ces exigences sont remplies : cf 1) Conditions de participation : liste des éléments et documents exigés des candidats à la rubrique Vi.3 du présent AAPC. Il est rappelé que la fourniture de ces éléments listés à la rubrique Vi.3 est primordiale, sous peine de rejet de la candidature de l'opérateur économique.",,,,,False,"Critères relatifs à la capacité technique et/ou professionnelle d'opérateurs économiques (susceptibles d'entraîner leur exclusion).Renseignements et formalités nécessaires pour évaluer si ces exigences sont remplies : cf 1) Conditions de participation : liste des éléments et documents exigés des candidats à la rubrique Vi.3 du présent AAPC. Il est rappelé que la fourniture des éléments listés à la rubrique Vi.3 est primordiale, sous peine de rejet de la candidature de l'opérateur économique.Critères relatifs à la capacité technique et/ou professionnelle de sous-traitants (susceptibles d'entraîner leur rejet).Renseignements et formalités nécessaires pour évaluer si ces exigences sont remplies : cf 1) Conditions de participation : liste des éléments et documents exigés des candidats à la rubrique Vi.3 du présent AAPC. Il est rappelé que la fourniture de ces éléments listés à la rubrique Vi.3 est primordiale, sous peine de rejet de la candidature de l'opérateur économique.",,,,,CF_NIV_SUIV,False,False,False,,True,,False,True,CF_NIV_SUIV,,CF_NIV_SUIV,False,False
21-158657,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,,CF_NIV_SUIV,False,True
21-159240,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,Autres renseignements demandés,CF_NIV_SUIV,False,True
21-159240,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Conformément aux articles R.2144-1 à R.2144-7 du Code de la commande publique, les candidats qui se trouvent dans un cas d'interdiction de soumissionner, qui ne disposent pas de la capacité économique et financière, des capacités techniques et professionnelles ou qui ne peuvent produire dans le délai imparti les documents justificatifs, les moyens de preuve, les compléments ou explications requis par le pouvoir adjudicateur sont éliminés.",CF_NIV_SUIV,False,True
21-159240,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,Autres renseignements demandés,CF_NIV_SUIV,False,True
21-159240,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Situation juridique - références requises : -Une lettre de candidature complétée, avec, en cas de groupement, la désignation du mandataire par ses cotraitants (formulaire Dc1 version du 01/04/2019).",CF_NIV_SUIV,False,True
21-159240,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,Autres renseignements demandés,CF_NIV_SUIV,False,True
21-159240,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"-Si le candidat est en redressement judiciaire au sens de l'article L.631-1 du code de commerce, ou est admis à une procédure équivalente régie par un droit étranger, la copie du ou des jugements prononcés à cet effet.Capacité économique et financière - références requises : -Une déclaration concernant le chiffre d'affaire global et le chiffre d'affaire concernant l'objet du marché, réalisé au cours des trois derniers exercices disponibles (Dc2 version du 01/04/2019)Référence professionnelle et capacité technique - références requises : -Les effectifs moyens annuels du candidat pour chacune des trois dernières années.-Une liste de trois (3) références, de moins de 3 ans, d'importance et de complexité comparables à l'objet du marché (opération de réhabilitation et extension d'un équipement public d'envergure).Pour chaque référence le candidat précisera dans l'annexe 1 au présent RC 'Cadre de réponse candidature' prévu à cet effet.",CF_NIV_SUIV,False,True
21-160234,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Documents à produire obligatoirement par le candidat, à l'appui de sa candidature",CF_NIV_SUIV,True,False
