BOAMP_AVIS_NUM,D_16_01_Renseignementscomplementaires_Commandeelectroniqueoui,D_16_02_Renseignementscomplementaires_Commandeelectroniquenon,D_16_03_Renseignementscomplementaires_Facturationelectroniqueoui,D_16_04_Renseignementscomplementaires_Facturationelectroniquenon,D_16_05_Renseignementscomplementaires_Paiementelectroniqueoui,D_16_06_Renseignementscomplementaires_Paiementelectroniquenon,D_16_07_Renseignementscomplementaires_Renscomplement,D_16_08_Renseignementscomplementaires_Proceduresrecoursprecision,D_16_09_Renseignementscomplementaires_Adressescomplementaires,D_16_09_01_Renseignementscomplementaires_Adressescomplementaires_Adresse,D_16_09_01_01_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type,D_16_09_01_01_02_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Admintech,D_16_09_01_01_03_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Admin,D_16_09_01_01_04_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Tech,D_16_09_01_01_05_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Renseignements,D_16_09_01_01_06_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Documents,D_16_09_01_01_07_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Envoyeroffres,D_16_09_01_01_08_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Instancerecours,D_16_09_01_01_09_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Organemediation,D_16_09_01_01_10_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Rensrecours,D_16_09_01_02_Renseignementscomplementaires_Adressescomplementaires_Adresse_Denomination,D_16_09_01_03_Renseignementscomplementaires_Adressescomplementaires_Adresse_Codeidentnational,D_16_09_01_04_Renseignementscomplementaires_Adressescomplementaires_Adresse_Correspondant,D_16_09_01_05_Renseignementscomplementaires_Adressescomplementaires_Adresse_Contact,D_16_09_01_06_Renseignementscomplementaires_Adressescomplementaires_Adresse_Adresse,D_16_09_01_07_Renseignementscomplementaires_Adressescomplementaires_Adresse_Cp,D_16_09_01_08_Renseignementscomplementaires_Adressescomplementaires_Adresse_Ville,D_16_09_01_09_Renseignementscomplementaires_Adressescomplementaires_Adresse_Pays,D_16_09_01_10_Renseignementscomplementaires_Adressescomplementaires_Adresse_Codenuts,D_16_09_01_11_Renseignementscomplementaires_Adressescomplementaires_Adresse_Tel,D_16_09_01_12_Renseignementscomplementaires_Adressescomplementaires_Adresse_Poste,D_16_09_01_13_Renseignementscomplementaires_Adressescomplementaires_Adresse_Fax,D_16_09_01_14_Renseignementscomplementaires_Adressescomplementaires_Adresse_Mel,D_16_09_01_15_Renseignementscomplementaires_Adressescomplementaires_Adresse_Url
22-2964,False,False,False,False,False,False,,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,False,False,True,Tribunal Administratif de Nancy,None,,,"5, place de la carrière",54036,NANCY cedex,,,03-83-17-43-43,,,greffe.ta-nancy@juradm.fr,
22-3002,False,False,False,False,False,False,"La durée des travaux est de 24 mois à compter de l'ordre de service de démarrage.Pas de cautionnement exigéPaiement à 50 jours sur le budget du CH de LisieuxUne prestation supplémentaire éventuelle obligatoire est décrite dans leC.C.T.P. du lot 4 : plaquettes briques sur les façades du local technique situé sous l'extension (niveaux -1 et -2)Une visite facultative est organisée avec Monsieur BATUT : b.batut@ch-lisieux.fr. Il est conseillé auxsoumissionnaires de participer à la visite du site afin d'appréhender correctement l'étendue des prestationsdemandées.Elle sera organisée, pour les lots techniques, le 26/01/2022 à 9h00 dans le bâtiment principal du CH.Cette visite concerne les lots :Lot no06 CVCLot no07 Fluides MédicauxLot no08 PlomberieLot no09 Courants forts & faiblesUne visite facultative est également organisée pour les autres lots le 26/01/2022 à 14h00 dans le bâtimentprincipal du CH.Les candidats sont informés qu'aucune autre visite ne sera organisée.L'accès à l'intérieur du bâtiment sera limité à 1 personne par entreprise, 2 à l'extérieur.Pour l'accès intérieur au bâtiment il sera impérativement demandé de présenter un Pass Sanitaire en cours devalidité au moment de la visite.Bien que la visite soit facultative, le candidat est réputé avoir pris connaissance du site concerné et de toutes lescontraintes et sujétions liées à son environnement.Suite à cette visite, les candidats pourront poser leurs éventuelles jusqu'au 2 février 2022 à 12 heures via laplateforme www.marches-publics.gouv.fr. Une réponse leur sera apportée le 14 février 2022 au plus tard.Aucune autre visite ne pourra être programmée en dehors de cette date.En raison de la présence d'amiante,deux documents supplémentaires devront être fournis par les candidats pour le lot no 1 Menuiseries intérieures /Serrurerie-Attestation de compétence, de moins de 3 ans, et-Attestation d'aptitude médicaleCPV 45454000",,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,True,False,False,False,False,DRMa Cellule marchés,None,aude de saint roman,,avenue de la cote de nacre,14033,caen,,,02-31-06-53-33,,,desaintroman-a@chu-caen.fr,http://www.marches-publics.fr
22-3004,False,False,False,False,False,False,,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,True,False,False,False,False,False,False,False,False,CCAS,None,Mme Corinne Stenegre,,,None,,,,,,,cstenegre@ville-sallaumines.fr,
22-302,False,False,False,False,False,False,,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,True,False,False,tribunal administratif de lille,None,,,5 rue geoffroy saint hilaire,59014,lille cedex cs 62039,,,03-59-54-23-42,,03-59-54-24-45,greffe.ta-lille@juradm.fr,http://lille.tribunal-administratif.fr
22-3023,False,False,False,False,False,False,,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,True,False,False,Tribunal Administratif de Rennes,None,,,"3, contour de la Motte",35044,Rennes,,,02-23-21-28-28,,,greffe.ta-rennes@juradm.fr,http://rennes.tribunal-administratif.fr
22-3052,False,False,False,False,False,False,,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,True,False,False,Tribunal Administratif de NIMES,None,,,16 avenue Feuchères CS 88010,30941,Nimes,,,04-66-27-37-00,,,greffe.ta-nimes@juradm.fr,
22-3052,False,False,False,False,False,False,,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,False,False,True,Tribunal Administratif de NIMES,None,,,16 avenue Feuchères CS 88010,30941,Nimes,,,04-66-27-37-00,,,greffe.ta-nimes@juradm.fr,
22-3067,False,False,False,False,False,False,"Le marché est conclu pour une durée de 12 mois à compter de sa notification, renouvelable 3 fois par tacite reconduction sans que sa durée totale n'excède 4 ans. Le titulaire ne peut s'opposer à la reconduction.Une négociation orale sera menée avec les candidats, classés aux trois premières positions à la suite de l'analyse des offres. Toutefois, la collectivité se réserve la possibilité d'attribuer le marché public sur la base des offres initiales sans négociation conformément à l'article R2123-5 du Code de la commande publique.La négociation se déroulera, à titre indicatif, du 23 au 25 février 2022.La collectivité se laisse le droit d'avancer ou de reporter ces dates prévisionnelles.Le candidat est informé qu'il recevra sa convocation 2 jours avant le rendez-vous et qu'il ne pourra pas demander à décaler ce dernier.",,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,True,False,False,False,False,False,False,False,False,Mairie de Villiers-sur-Marne,None,,,,None,,,,,,,,https://villiersmarches.achatpublic.com
22-3067,False,False,False,False,False,False,"Le marché est conclu pour une durée de 12 mois à compter de sa notification, renouvelable 3 fois par tacite reconduction sans que sa durée totale n'excède 4 ans. Le titulaire ne peut s'opposer à la reconduction.Une négociation orale sera menée avec les candidats, classés aux trois premières positions à la suite de l'analyse des offres. Toutefois, la collectivité se réserve la possibilité d'attribuer le marché public sur la base des offres initiales sans négociation conformément à l'article R2123-5 du Code de la commande publique.La négociation se déroulera, à titre indicatif, du 23 au 25 février 2022.La collectivité se laisse le droit d'avancer ou de reporter ces dates prévisionnelles.Le candidat est informé qu'il recevra sa convocation 2 jours avant le rendez-vous et qu'il ne pourra pas demander à décaler ce dernier.",,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,True,False,False,False,False,False,Mairie de Villiers-sur-Marne,None,,,,None,,,,,,,,https://villiersmarches.achatpublic.com
22-3067,False,False,False,False,False,False,"Le marché est conclu pour une durée de 12 mois à compter de sa notification, renouvelable 3 fois par tacite reconduction sans que sa durée totale n'excède 4 ans. Le titulaire ne peut s'opposer à la reconduction.Une négociation orale sera menée avec les candidats, classés aux trois premières positions à la suite de l'analyse des offres. Toutefois, la collectivité se réserve la possibilité d'attribuer le marché public sur la base des offres initiales sans négociation conformément à l'article R2123-5 du Code de la commande publique.La négociation se déroulera, à titre indicatif, du 23 au 25 février 2022.La collectivité se laisse le droit d'avancer ou de reporter ces dates prévisionnelles.Le candidat est informé qu'il recevra sa convocation 2 jours avant le rendez-vous et qu'il ne pourra pas demander à décaler ce dernier.",,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,True,False,False,False,False,Mairie de Villiers-sur-Marne,None,,,,None,,,,,,,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2022_oBaQgY91cd
