BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
21-139374,REGION GRAND EST,None,Direction de l'Achat Public - Service Marchés Publics - Site de Metz,,,Hôtel de Région de MetzPlace Gabriel HocquardCS 81004,57036,Metz cedex1,,03-87-61-65-15,,,marchestravauxinvestissementmetz@grandest.fr,http://www.grandest.fr,https://marchespublics.grandest.fr,,,,,False,False,,False,False
21-141208,SICECO,None,Jacques JACQUENET,,,9A rue René CharBP 67454,21000,21000 - DIJON,,03-80-50-99-32,,,nhermand@siceco.fr,,https://marches.ternum-bfc.fr,,,,,False,False,,False,False
21-161297,REGION GRAND EST,None,Direction de l'Achat Public - Service Achat Public (site de Metz) - Achats travaux investissement,,,Place Gabriel HocquardCS 81004,57036,Metz cedex 1,,03-87-61-66-56,,,marchestravauxinvestissementmetz@grandest.fr,http://www.grandest.fr,https://marchespublics.grandest.fr,,,,,False,False,,False,False
21-161714,REGION GRAND EST,None,Direction de l'Achat Public - Service Achat Public (site de Metz) - Achats travaux investissement,,,Place Gabriel Hocquard CS 81004,57036,Metz Cedex 1,,03-87-61-66-56,,03-87-61-68-17,marchestravauxinvestissementmetz@grandest.fr,http://www.grandest.fr,https://marchespublics.grandest.fr,,,,,False,False,,False,False
21-80026,MINARM/DGA/DO/S2A,None,,,,Ministère des armées - Direction générale de l'armement - Direction des opérations - Service des achats d'armement / division achats - site de BruzDGA/DO/S2A/PROD/DA-BZBP 7,35998,RENNES CEDEX 9,,,,,dga-do-s2a.achats-bruz.fct@intradef.gouv.fr,,,,,,,False,False,,False,False
22-11778,Ville de Baie-Mahault,None,Mme le Maire,,,Place Childéric Trinqueur,97122,Baie-mahault,,,,,,,,,,,,False,False,,False,False
22-12870,Commune de Sevran,None,M. Le Maire de sevran,,,"26, avenue du Général Leclerc",93270,Sevran,,01-49-36-52-34,,,grp_marches_publics@ville-sevran.fr,,,,,,,False,False,,False,False
22-12932,A.P.I.J.,None,Caroline JEAN-ETIENNE,,,"Immeuble OKABE67, avenue de Fontainebleau",94270,Le kremlin bicetre,,,,,caroline.jean-etienne@apij-justice.fr,http://www.apij.justice.fr,http://www.achatpublic.com,,,,,False,False,,False,False
22-13432,Ville de Baie-Mahault,None,Mme le maire,,,Place Childéric Trinqueur,97122,Baie-mahault,,(+33)5-90-26-59-60,,,mairie@baiemahault.fr,http://www.baiemahault.fr,https://www.marches-securises.fr,,,,,False,False,,False,False
22-14239,DREAL Grand-ESt,None,Ludivine Boutineau (SPRA),,,2 rue Augustin Fresnel -CS 95038,57071,Metz cedex,,,,,,,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
22-14629,SICECO,None,Jacques JACQUENET,,,9 A rue René Char,21074,DIJON cédex,,,,,,,https://marches.ternum-bfc.fr,,,,,False,False,,False,False
22-14646,Syndicat Mixte Ports de Normandie,None,M. le Président du Syndicat Mixte,,,Site de Dieppe24 quai du Carénage,76200,Dieppe,,02-35-06-86-56,,,portdedieppe@portsdenormandie.fr,http://www.portdedieppe.fr,http://marches-publics.info,,,,,False,False,,False,False
22-15481,Conseil Départemental de l'Oise,None,Mme la Présidente du Conseil départemental,,,Direction Générale Adjointe Finances et Modernisation - direction de la commande publique - centre administratif François Benard - avenue de l'europe - 1 rue Cambry,60000,Beauvais,,03-44-06-60-92,,,ld-commandepublique-sao@oise.fr,http://www.oise.fr,https://www.marches-securises.fr/perso/cg60/,,,,,False,False,,False,False
22-15717,MINDEF/SGA/DCSID/ESID.TOULON,None,Mme Giannini Nathalie,,,BCRM TOULON - ESID TLN - Boîte postale no 71,83800,Toulon cedex 9,,(+33) 4-22-43-63-42,,,esid-toulon-sai.secretaire.fct@intradef.gouv.fr,,https://www.marches-publics.gouv.fr,,https://www.marches-publics.gouv.fr,,,False,False,,False,False
22-15764,Métropole du Grand Nancy,None, MGDN - Service de la Commande publique,,,"22-24, Viaduc Kennedy C.O. N°80036",54035,NANCY CEDEX,,03-83-91-83-65,,03-83-91-84-89,marches@grandnancy.eu,http://www.grandnancy.eu,https://marchespublics.grand-nancy.org,,,,,False,False,,False,False
22-15798,Centre hospitalier de Valenciennes,None,Julie LEGRAND,,,Avenue Désandrouin,59322,Vaenciennes Cedex,,03-27-14-35-65,59322.0,,legrand-j@ch-valenciennes.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
22-15870,Département de l'Aude,None,Madame la Présidente du Conseil Départemental de l'Aude,,,Allée Raymond Courrière,11855,CARCASSONNE Cedex 9,,(+33)4-68-11-68-11,,,marches@aude.fr,http://www.aude.fr,http://www.marchespublics.aude.fr,,,,,False,False,,False,False
22-16090,Communauté urbaine Le Creusot Montceau,None,Service de la Commande publique,,,BP 90069,71206,Le Creusot,,,,,marches.publics@creusot-montceau.org,http://www.creusot-montceau.org,https://marches.ternum-bfc.fr,,,,,False,False,,False,False
22-16092,mairie de loon plage,None, Delphine KERMOAL,,,27 place de la République,59279,Loon-Plage,,(+33) 3-28-58-03-34,,,d.kermoal@loonplage.org,,https://www.marches-securises.fr,,,,,False,False,,False,False
22-16094,Collectivité européenne d'Alsace,None,M. le Président de la Collectivité européenne d'Alsace,,,1 Place du Quartier Blanc,67964,Strasbourg,,,,,contact.execution@alsace.eu,https://www.alsace.eu/,http://alsacemarchespublics.eu,,,,,False,False,,False,False
22-16115,COMMUNAUTE DE COMMUNES DE PETITE TERRE,None, Monsieur Saïd Omar OILI,,,"Rue PPFCS 8341697615 Pamandzi, FRANCE.Tel : +33 0269807700",97615,PAMANDZI,,(+33) -02-69-80-77-00,,,nelly.diedhiou@cc-petiteterre.fr,https://www.marches-securises.fr,,,,,,False,False,,False,False
22-16117,INSTITUT PAOLI CALMETTES,None, DIRECTION DE LA COMMANDE PUBLIQUE,,,232 bd de Sainte Marguerite,13009,MARSEILLE,,04-91-22-33-33,,,commandepublique@ipc.unicancer.fr,http://unicancer.e-marchespublics.com,http://unicancer.e-marchespublics.com,,,,,False,False,,False,False
22-16123,CA DES DEUX BAIES EN MONTREUILLOIS,None,"M. COUSEIN Bruno, Maire",,,11-13 Place Gambetta,62170,MONTREUIL SUR MER,,03-21-06-66-66,,,contact@ca2bm.fr,https://www.ca2bm.fr/,https://www.marches-demat.com:443/10195,,,,,False,False,,False,False
22-16124,Pôle emploi PACA,None," Achats-Marchés Service, Pôle emploi PACA",,,34 rue Alfred Curtel - CS 80149,13395,Marseille,,,,,drmarches.13992@pole-emploi.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
22-16133,CA DE BETHUNE BRUAY ARTOIS LYS ROMANE,None,M. GACQUERRE Olivier,,,"100, avenue de Londres CS 40548",62411,Béthune,,,,,contact@bethunebruay.fr,http://www.bethunebruay.fr,https://marchespublics596280.fr/?page=entreprise.EntrepriseHome,,,,,False,False,,False,False
