BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
22-16699,PARIS SCIENCES LETTRES QUARTIER LATIN,None,"M. DANG NGOC Louis, Directeur juridique",,,60 rue Mazarine,75006,Paris,,,,,achats@psl.eu,,,,,,,False,False,,False,False
22-16701,DRSID Lyon,None,M. GORINI Hedi,,,BP 97423,69347,Lyon cedex 07,,04-37-27-20-34,,,hedi.gorini@intradef.gouv.fr,,,,,,,False,False,,False,False
22-16706,Valor'Aisne,None, Eric DELHAYE,,,"Zone du Champ du Roy, 3 rue Michel Eyquem de Montaigne",2000,LAON,,,,,info@valoraisne.fr,https://www.xmarches.fr,https://www.xmarches.fr,,,,,False,False,,False,False
22-16707,Valor'Aisne,None, Eric DELHAYE,,,"Zone du Champ du Roy, 3 rue Michel Eyquem de Montaigne",2000,LAON,,,,,info@valoraisne.fr,https://www.xmarches.fr,https://www.xmarches.fr,,,,,False,False,,False,False
22-16732,DEPARTEMENT DE LA SARTHE,None, le Président,,,"Hôtel du département, Place Aristide Briand",72072,Le Mans,,,,,scp@cg72.fr,http://www.sarthe.fr,http://www.sarthe-marchespublics.fr,,,,,False,False,,False,False
22-16733,EMA/DCSSA/DAPS-SSA,None,M. Olivier Dupré,,,TSA 20003,45404,Fleury-les-aubrais cedex,,(+33) 2-38-60-75-61,,,olivier1.dupre@intradef.gouv.fr,,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
22-16737,SAINT-LOUIS Agglomération,None, Le Président,,,"Place de l'Hôtel de Ville, CS 50199",68305,Saint-Louis,,03-89-70-90-70,,03-89-70-90-85,direction@agglo-saint-louis.fr,http://www.agglo-saint-louis.fr,http://www.marches-publics.info,,,,,False,False,,False,False
22-16743,Ville de Marseille,None, M. le Maire,,,Hôtel de Ville - quai du port,13233,Marseille cedex 20,,,,,guichet-dmp@marseille.fr,http://www.marseille.fr,http://marchespublics.mairie-marseille.fr,,,,,False,False,,False,False
22-16753,COMMUNAUTE DE HAUTE PROVENCE,None,M. DEPIEDS JACQUES,,,PLACE DE l'EGLISE,4300,Mane,,04-92-75-04-13,,04-92-75-31-23,mairie@mane-en-provence.com,,http://www.klekoon.com,,,,,False,False,,False,False
22-16763,CAISSE FRANCAIS DE L ETRANGER,None,Mme GOVINDEE BUNDHOO,,,160 rue des meuniers CS70238 77052 MELUN CEDEX,77950,Rubelles,,,,,,,,,,,,False,False,,False,False
22-16767,S.A.3.M.,None,Mme MONTROUSSIER Aurélie,,,45 place Ernest Granier CS 29502,34960,Montpellier,,,,,,,,,,,,False,False,,False,False
22-16774,Conseil Départemental du Nord,None, Président du Département du Nord,,,"Hôtel du Département, 51 rue Gustave DELORY",59047,Lille,,,,,pap-travaux@lenord.fr,https://lenord.fr/,https://www.marches-publics.info/,,,,,False,False,,False,False
