BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
22-16508,2022-02-01 00:00:00,2022-02-10 12:00:00,2022-02-11 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,214,Matériel photographique et cinématographique,CF_NIV_SUIV,False,False,60,,"Fourniture, livraison et installation de matériels pédagogiques pour les formations en photographie et en prothèse dentaire pour la CMA Hauts-de-France"
22-16513,2022-02-01 00:00:00,2022-02-25 12:00:00,2022-02-25 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,285,"Publicité, Communication",CF_NIV_SUIV,False,False,80,,création d'une identité visuelle + déclinaisons graphiques et mise en cohérence de la documentation touristique des supports de communication de l'office de tourisme et des congrès d'amiens métropole
22-16523,2022-02-01 00:00:00,,2022-03-01 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,133,Fibre optique,CF_NIV_SUIV,False,False,2,,Canal de la Sambre à l'Oise - Fourniture et livraison de fibre optique
22-16528,2022-02-01 00:00:00,2022-02-23 12:00:00,2022-03-01 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,74,Couverture,CF_NIV_SUIV,False,False,89,,Couverture Théâtre de verdure
22-16535,2022-02-01 00:00:00,,2022-03-25 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,61,Chauffage (travaux),CF_NIV_SUIV,False,False,8,,Travaux d'amélioration des installations techniques chauffage-climatisation-ventilation-.
22-16535,2022-02-01 00:00:00,,2022-03-25 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,345,Tous corps d'état,CF_NIV_SUIV,False,False,8,,Travaux d'amélioration des installations techniques chauffage-climatisation-ventilation-.
22-16539,2022-02-01 00:00:00,2022-03-15 12:00:00,2022-03-15 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,118,Etude,CF_NIV_SUIV,False,False,14,,Assistance à maîtrise d'ouvrage pour la réalisation d'études et essais complémentaires autour du bassin de ParisAnnonce BOAMP : 22-14646
22-16539,2022-02-01 00:00:00,2022-03-15 12:00:00,2022-03-15 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,141,Génie civil,CF_NIV_SUIV,False,False,14,,Assistance à maîtrise d'ouvrage pour la réalisation d'études et essais complémentaires autour du bassin de ParisAnnonce BOAMP : 22-14646
22-16539,2022-02-01 00:00:00,2022-03-15 12:00:00,2022-03-15 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,433,Assistance à maîtrise d'ouvrage,CF_NIV_SUIV,False,False,14,,Assistance à maîtrise d'ouvrage pour la réalisation d'études et essais complémentaires autour du bassin de ParisAnnonce BOAMP : 22-14646
22-16539,2022-02-01 00:00:00,2022-03-15 12:00:00,2022-03-15 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,455,Ingénierie,CF_NIV_SUIV,False,False,14,,Assistance à maîtrise d'ouvrage pour la réalisation d'études et essais complémentaires autour du bassin de ParisAnnonce BOAMP : 22-14646
22-16553,2022-02-01 00:00:00,2022-03-01 12:00:00,2022-03-01 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,False,38,,"Accompagnement de l'Agglomération dans l'animation de son Conseil de Développement (animation de réunions, encadrement de groupes de travail)"
22-16561,2022-02-01 00:00:00,,2022-02-21 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,102,Eclairage public,CF_NIV_SUIV,False,False,74,,TRAVAUX AMENAGEMENT DES ESPACES PUBLICS RUE MONTPELAZ RUE DES ECOLES ET PLACE STE AGATHE
22-16561,2022-02-01 00:00:00,,2022-02-21 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,116,Espaces verts,CF_NIV_SUIV,False,False,74,,TRAVAUX AMENAGEMENT DES ESPACES PUBLICS RUE MONTPELAZ RUE DES ECOLES ET PLACE STE AGATHE
22-16561,2022-02-01 00:00:00,,2022-02-21 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,231,Mobilier urbain,CF_NIV_SUIV,False,False,74,,TRAVAUX AMENAGEMENT DES ESPACES PUBLICS RUE MONTPELAZ RUE DES ECOLES ET PLACE STE AGATHE
22-16567,2022-02-01 00:00:00,,2022-04-30 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,118,Etude,CF_NIV_SUIV,False,False,20A,,Réalisation d'une étude relative à l'élaboration d'une stratégie d'attractivité économique du territoire dans le cadre du programme Territoires d'Industrie
22-16571,2022-02-01 00:00:00,,2022-04-30 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,72,Contrôle technique,CF_NIV_SUIV,False,False,67,,Prestations de vérifications périodiques des installations Électriques de la Délégation Alsace du CNRS
22-16574,2022-02-01 00:00:00,,2022-04-30 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,33,Bâtiment,CF_NIV_SUIV,False,True,42,,RECONSTRUCTION D'UN RESTAURANT SCOLAIRE A LE COTEAU
